"","spp","ncells","nrecords","span"
"131","Salicornia pacifica",114,157,334963.159459498
"132","Botrychium crenulatum",21,30,334377.51169251
"133","Elymus lanceolatus",26,30,333797.044703601
"134","Nama californica",104,126,333445.220263962
"135","Lindernia dubia",99,130,333388.808355828
"136","Ptelea crenulata",151,276,332532.095233533
"137","Epilobium luteum",6,15,332082.562305019
"138","Lipocarpha occidentalis",19,30,331638.613424531
"139","Atriplex gmelinii",6,13,331253.176265095
"140","Phyla lanceolata",28,38,330278.393402303
"141","Helianthella californica",249,334,330117.131561403
"142","Silene scouleri",16,46,329578.051660466
"143","Streptanthus morrisonii",37,80,329517.442275306
"144","Claytonia lanceolata",140,184,328555.645865334
"145","Collomia tinctoria",227,273,328296.689322956
"146","Angelica tomentosa",135,197,327220.399785423
"147","Staphylea bolanderi",62,103,326828.55541413
"148","Eriogonum arborescens",73,243,326745.85709037
"149","Cuscuta occidentalis",51,64,325197.440004692
"150","Ionactis alpina",10,15,324345.985628834
"151","Arabis modesta",14,29,323588.739388665
"152","Lilium humboldtii",212,322,323398.481246182
"153","Helenium autumnale",4,8,323293.176796451
"154","Rudbeckia californica",53,78,323012.154885966
"155","Boechera shockleyi",39,55,322297.644211725
"156","Deinandra lobbii",49,79,322038.227721992
"157","Trichostema austromontanum",85,167,322035.204366255
"158","Arctostaphylos myrtifolia",50,241,321690.654237851
"159","Calycadenia micrantha",24,42,321689.373796799
"160","Plagiobothrys stipitatus",413,658,320423.184503073
"161","Arabis pycnocarpa",23,26,319591.462951965
"162","Pycnanthemum californicum",156,211,318878.435756468
"163","Triteleia crocea",80,107,318783.862297948
"164","Arnica sororia",21,29,318673.248859626
"165","Rumex persicarioides",8,10,318428.980231279
"166","Eriastrum tracyi",21,31,317999.99742956
"167","Corydalis caseana",60,106,317756.901320908
"168","Triteleia lugens",23,30,317163.066452434
"169","Glaux maritima",37,47,316538.403059863
"170","Astragalus malacus",41,52,316399.231733287
