"","spp","ncells","nrecords","span"
"1324","Phacelia ramosissima",865,1298,150089.992835392
"1325","Allium lacunosum",151,236,150089.726745291
"1326","Juniperus grandis",212,309,150056.203748948
"1327","Erigeron divergens",394,569,150012.35592691
"1328","Prosopis glandulosa",403,600,149822.426040423
"1329","Poa kelloggii",9,21,149813.491627875
"1330","Linnaea borealis",143,186,149767.291530845
"1331","Carex bolanderi",342,507,149697.987164191
"1332","Anemone grayi",22,35,149637.220010453
"1333","Agoseris apargioides",88,180,149605.583975796
"1334","Downingia bacigalupii",117,163,149459.258325743
"1335","Selaginella watsonii",241,385,149458.220578103
"1336","Muhlenbergia porteri",116,167,149435.749739015
"1337","Montia diffusa",22,25,149360.632907748
"1338","Chenopodium desiccatum",56,61,149355.006105587
"1339","Chaenactis nevadensis",28,52,149303.504595237
"1340","Mirabilis coccinea",38,54,149263.803455375
"1341","Petrophytum caespitosum",25,34,149252.202393333
"1342","Aliciella monoensis",20,23,149176.031139152
"1343","Gratiola heterosepala",42,64,149094.047291995
"1344","Kochia californica",58,104,149039.94943307
"1345","Elymus spicatus",110,148,148903.321344184
"1346","Clarkia modesta",81,123,148887.355698375
"1347","Penstemon incertus",174,320,148833.213202461
"1348","Deinandra clementina",37,104,148789.278243174
"1349","Cryptantha muricata",1193,1624,148773.642759131
"1350","Chorizanthe uniaristata",79,116,148700.236781629
"1351","Ceanothus oliganthus",846,1442,148680.664766266
"1352","Hosackia stipularis",82,101,148679.131188033
"1353","Acmispon grandiflorus",355,542,148674.994302517
"1354","Helianthus cusickii",15,18,148651.84987656
"1355","Oenothera villosa",5,6,148636.75697044
"1356","Cornus canadensis",6,9,148632.69681098
"1357","Saltugilia splendens",335,462,148428.613987682
"1358","Pentachaeta alsinoides",68,101,148381.085057291
"1359","Bouteloua barbata",335,467,148275.111136226
"1360","Heterotheca subaxillaris",10,23,148274.315621848
"1361","Fraxinus anomala",60,113,148256.187097833
"1362","Boechera repanda",232,360,147895.92747164
"1363","Eriophyllum lanatum",2061,3102,147857.518674196
"1364","Lilium columbianum",15,22,147735.924683663
"1365","Eriophyllum confertiflorum",2150,3338,147640.179050978
"1366","Stellaria borealis",62,93,147628.268324697
"1367","Plagiobothrys cusickii",61,94,147613.946582313
"1368","Phlox austromontana",116,174,147556.646323636
"1369","Sorbus scopulina",122,168,147498.481316015
"1370","Rhynchospora alba",18,32,147289.699121616
"1371","Astragalus tricarinatus",52,85,147206.225702173
"1372","Echinocereus mojavensis",83,108,147072.68039744
"1373","Plectritis macrocera",347,464,146953.242323856
"1374","Ribes inerme",185,281,146906.143275224
"1375","Plagiobothrys tener",26,35,146880.533595844
"1376","Luzula subsessilis",66,80,146756.721937491
"1377","Cheilanthes feei",59,93,146742.643836528
"1378","Cryptantha leiocarpa",109,166,146710.442970043
"1379","Astragalus allochrous",13,22,146589.152265375
"1380","Sphaeralcea emoryi",138,221,146568.94504746
"1381","Hordeum intercedens",123,203,146547.221540194
"1382","Poa fendleriana",230,302,146531.197838857
"1383","Ribes montigenum",296,492,146439.756626002
"1384","Allophyllum divaricatum",258,330,146428.902042395
"1385","Phacelia barnebyana",9,20,146077.828371918
"1386","Elymus glaucus",1959,2883,146041.403350945
"1387","Heuchera rubescens",361,563,146033.349596493
"1388","Epilobium pallidum",64,92,145922.623643154
"1389","Eriogonum angulosum",331,498,145882.202567019
"1390","Sanicula tracyi",52,86,145873.310628732
"1391","Stipa thurberiana",125,183,145858.410787132
"1392","Bouteloua gracilis",95,149,145825.93587531
"1393","Polygonum douglasii",572,862,145787.250306394
"1394","Plagiobothrys shastensis",26,34,145463.152665346
"1395","Leptosyne douglasii",37,51,145355.129631328
"1396","Viola palustris",10,22,145326.523809372
"1397","Polypodium scouleri",81,136,145288.26105889
"1398","Linum puberulum",23,45,145237.857203593
"1399","Physaria kingii",108,180,145115.02823011
"1400","Verbena hastata",24,32,145076.039181497
"1401","Lewisia cantelovii",37,50,145003.448570447
"1402","Lilaeopsis occidentalis",13,16,144859.398940197
"1403","Calochortus fimbriatus",45,57,144794.652295236
"1404","Plantago subnuda",85,113,144787.605026312
"1405","Fendlerella utahensis",25,55,144739.425952451
"1406","Mimulus bolanderi",127,152,144714.213018883
"1407","Phacelia nemoralis",68,94,144713.52875962
"1408","Cryptantha rattanii",49,73,144691.260251717
"1409","Eriastrum diffusum",137,166,144613.357894014
"1410","Nuttallanthus texanus",441,553,144592.799084536
"1411","Piperia colemanii",19,20,144495.400493122
"1412","Stephanomeria tenuifolia",194,258,144479.585856064
"1413","Epilobium cleistogamum",74,97,144428.341401994
"1414","Festuca octoflora",744,965,144231.951529226
"1415","Fimbristylis thermalis",10,42,144197.698127097
"1416","Phlox hoodii",30,35,144131.903313482
"1417","Draba cuneifolia",306,392,144111.250053975
"1418","Schoenoplectus saximontanus",7,28,144063.886126624
"1419","Lepidium acutidens",99,151,144056.170962903
"1420","Phoradendron juniperinum",272,430,144018.15742104
"1421","Stellaria obtusa",55,77,143974.603333767
"1422","Cryptantha micromeres",231,306,143907.099425539
"1423","Cuscuta howelliana",33,47,143892.10440982
"1424","Quercus durata",520,964,143878.680588192
"1425","Eriodictyon traskiae",102,216,143876.328200225
"1426","Bidens laevis",97,172,143866.350336188
"1427","Rhododendron columbianum",484,741,143864.880404441
"1428","Cryptantha affinis",323,422,143606.953444037
"1429","Collinsia corymbosa",17,39,143551.514092832
"1430","Juncus brachyphyllus",16,26,143384.215233722
"1431","Chorizanthe stellulata",38,61,143343.736301341
"1432","Collinsia bartsiifolia",239,314,143157.280213151
"1433","Elymus trachycaulus",588,890,143102.552087679
"1434","Lupinus variicolor",51,64,143072.376508052
"1435","Lilium rubescens",96,124,142922.678079692
"1436","Sedum obtusatum",328,424,142853.755303903
"1437","Tiarella trifoliata",117,147,142628.595482834
"1438","Caltha leptosepala",202,287,142583.496374278
"1439","Sidalcea hartwegii",150,188,142340.930019245
"1440","Erigeron foliosus",1174,1696,142329.245656685
"1441","Rupertia physodes",167,220,142213.980311353
"1442","Calamagrostis stricta",91,125,142212.484220015
"1443","Acmispon heermannii",475,679,142211.783616526
"1444","Potentilla bruceae",87,116,142181.19332777
"1445","Campanula angustiflora",24,34,142070.238703008
"1446","Jaumea carnosa",214,337,142022.784029248
"1447","Iva hayesiana",50,89,141969.443574727
"1448","Berberis nervosa",198,246,141966.126667381
"1449","Centromadia parryi",300,536,141955.761480468
"1450","Microseris douglasii",539,904,141810.046590411
"1451","Platanthera sparsiflora",287,380,141713.60719535
"1452","Euphorbia serpyllifolia",719,950,141552.481720161
"1453","Verbena scabra",24,34,141537.876520673
"1454","Poteridium annuum",18,22,141504.179416759
"1455","Pentachaeta fragilis",25,52,141453.383698979
"1456","Opuntia polyacantha",77,106,141433.493060496
"1457","Chenopodium rubrum",95,127,141313.064363239
"1458","Heliotropium curassavicum",836,1091,141281.681884466
"1459","Malacothrix californica",240,313,141274.017277135
"1460","Pentagramma pallida",41,46,141207.75346186
"1461","Quercus turbinella",51,125,141153.743935064
"1462","Lupinus chamissonis",147,317,141129.770468051
"1463","Hesperocyparis sargentii",231,614,141087.576244717
"1464","Cuscuta pacifica",80,107,141001.850014506
"1465","Crossosoma bigelovii",130,256,141000.369857802
"1466","Myosurus minimus",339,555,140901.290032122
"1467","Euphorbia spathulata",273,363,140883.520530168
"1468","Nemacladus montanus",23,37,140876.811851229
"1469","Sibara filifolia",6,6,140787.453494741
"1470","Viola praemorsa",85,111,140780.847762421
"1471","Cyperus niger",169,277,140733.336146401
"1472","Azolla filiculoides",239,372,140660.293713636
"1473","Calochortus clavatus",240,327,140581.749969346
"1474","Eleocharis decumbens",45,61,140526.401109106
"1475","Antirrhinum leptaleum",36,45,140510.929521567
"1476","Acmispon argophyllus",583,919,140498.75126627
"1477","Astragalus platytropis",29,40,140483.386994968
"1478","Narthecium californicum",73,110,140439.547021049
"1479","Abronia umbellata",290,591,140388.001776419
"1480","Atriplex argentea",211,306,140385.728350897
"1481","Boechera lyallii",84,105,140379.568374048
"1482","Potamogeton richardsonii",28,40,140357.482961099
"1483","Plectritis congesta",251,331,140340.434527868
"1484","Ludwigia palustris",68,90,140173.495511056
"1485","Zannichellia palustris",192,265,140167.551134425
"1486","Astragalus nuttallii",155,386,140166.978236977
"1487","Sedum spathulifolium",351,456,140157.832115572
"1488","Sisyrinchium californicum",49,69,140147.196471897
"1489","Piperia candida",18,30,139977.265664169
"1490","Carex praegracilis",547,836,139914.329488013
"1491","Asarum marmoratum",10,11,139893.344457618
"1492","Hieracium triste",86,110,139888.068113337
"1493","Senecio astephanus",37,70,139845.344664711
"1494","Triantha occidentalis",193,259,139751.01294225
"1495","Epilobium oreganum",22,23,139744.371360852
"1496","Campanula scabrella",20,36,139675.227758781
"1497","Carnegiea gigantea",16,21,139502.810603873
"1498","Penstemon davidsonii",270,422,139475.579150672
"1499","Lessingia glandulifera",577,896,139463.840606713
"1500","Hesperevax caulescens",92,119,139417.001252075
"1501","Cornus glabrata",301,476,139407.899363236
"1502","Stipa occidentalis",1154,1852,139349.874602219
"1503","Lupinus andersonii",211,280,139309.414167533
"1504","Horsfordia alata",15,27,139226.461173283
"1505","Lewisia nevadensis",210,269,139160.964934463
"1506","Arctostaphylos bakeri",36,113,139096.796661795
"1507","Microseris sylvatica",110,157,139068.211110945
"1508","Galium hallii",97,164,138967.911170066
"1509","Downingia insignis",122,166,138900.705766755
"1510","Eriogonum palmerianum",91,108,138892.416189253
"1511","Lewisia brachycalyx",23,37,138865.151128601
"1512","Perideridia oregana",83,99,138806.434465512
"1513","Euphorbia schizoloba",76,117,138795.745812485
"1514","Asclepias vestita",100,138,138784.549600191
"1515","Carex pachystachya",121,163,138777.355486195
"1516","Ribes menziesii",350,586,138725.062547242
"1517","Solidago spathulata",124,272,138448.80577457
"1518","Panicum hirticaule",25,50,138439.964136528
"1519","Phacelia purpusii",61,74,138396.926746282
"1520","Angelica lucida",23,43,138386.001838239
"1521","Helenium bolanderi",33,68,138245.836882132
"1522","Meconella denticulata",168,223,138215.401269
"1523","Collinsia rattanii",115,143,138171.388366424
"1524","Epilobium palustre",3,6,138154.514574644
"1525","Elymus stebbinsii",101,140,138152.699277091
"1526","Taraxia subacaulis",60,78,138130.085795841
"1527","Perideridia howellii",30,34,138091.105837771
"1528","Taraxia tanacetifolia",174,248,138078.42253167
"1529","Veronica wormskjoldii",132,151,138037.177394232
"1530","Chorizanthe xanti",292,404,137974.429811439
"1531","Erodium texanum",211,245,137947.624205254
"1532","Platanthera dilatata",497,666,137908.781624269
"1533","Astragalus bernardinus",56,81,137906.174126332
"1534","Castilleja densiflora",351,512,137843.166610074
"1535","Ranunculus glaberrimus",50,56,137802.764420974
"1536","Grusonia parishii",24,30,137784.112283743
"1537","Cirsium mohavense",55,112,137688.10800246
"1538","Argemone corymbosa",80,126,137621.485891526
"1539","Solanum americanum",377,492,137585.28639792
"1540","Darlingtonia californica",185,337,137580.737063465
"1541","Ephedra trifurca",123,229,137572.937160266
"1542","Bromus maritimus",77,132,137545.888521139
"1543","Mentzelia veatchiana",506,675,137488.862132345
"1544","Eryngium castrense",158,210,137416.208377507
"1545","Trifolium variegatum",863,1201,137288.451443326
"1546","Kalmia polifolia",276,404,137239.169875164
"1547","Acaena pinnatifida",83,121,137238.977319674
"1548","Triodanis biflora",219,285,137236.964726647
"1549","Lupinus sparsiflorus",687,933,137236.47323828
"1550","Pinus coulteri",195,292,137210.134883433
"1551","Lessingia hololeuca",60,124,137112.936919162
"1552","Anemone occidentalis",77,116,137073.508220486
"1553","Scopulophila rixfordii",34,47,136970.171350793
"1554","Aconogonon phytolaccifolium",130,193,136944.404855166
"1555","Mammillaria tetrancistra",78,80,136835.129622994
"1556","Carex vernacula",127,178,136822.61469614
"1557","Phyllospadix scouleri",52,78,136723.883503302
"1558","Arnica nevadensis",136,179,136704.48176767
"1559","Tsuga heterophylla",72,106,136702.176034115
"1560","Cylindropuntia echinocarpa",151,206,136629.103736956
"1561","Castilleja miniata",834,1277,136602.522161944
"1562","Crassula aquatica",196,276,136469.508531862
"1563","Ribes lasianthum",73,103,136455.407218804
"1564","Salvia funerea",104,272,136317.32109572
"1565","Monardella sheltonii",128,174,136299.784925498
"1566","Leptosiphon latisectus",78,95,136171.148866517
"1567","Mimulus moschatus",475,628,136144.903289187
"1568","Eleocharis macrostachya",630,819,136114.231422488
"1569","Calamagrostis foliosa",29,47,136079.525080493
"1570","Lasthenia minor",213,336,136014.375290164
"1571","Physalis hederifolia",85,109,135946.93066298
"1572","Lupinus nevadensis",20,23,135731.407391159
"1573","Euphorbia misera",38,101,135586.762169645
"1574","Gentiana sceptrum",26,49,135509.312596641
"1575","Salix scouleriana",650,1379,135399.26867523
"1576","Ceratophyllum demersum",136,217,135346.929042683
"1577","Calycadenia multiglandulosa",186,350,135293.539723963
"1578","Lepidium oxycarpum",42,64,135219.090129508
"1579","Atriplex serenana",308,508,135203.654992573
"1580","Stellaria umbellata",74,85,135101.20337208
"1581","Pseudostellaria sierrae",24,43,135089.737477594
"1582","Camissoniopsis robusta",87,110,135064.485317714
"1583","Calochortus simulans",25,29,134988.849436827
"1584","Nemophila parviflora",314,438,134980.249303773
"1585","Sisyrinchium elmeri",29,39,134949.87275107
"1586","Angelica genuflexa",9,32,134933.272902986
"1587","Polemonium pulcherrimum",126,195,134844.87188445
"1588","Atriplex watsonii",83,165,134820.683599533
"1589","Juncus confusus",50,60,134813.042085045
"1590","Boykinia occidentalis",263,391,134794.749186388
"1591","Salvia spathacea",209,290,134783.917742982
"1592","Mentzelia oreophila",69,96,134697.856793271
"1593","Hieracium albiflorum",627,846,134677.718294272
"1594","Oxalis pilosa",117,146,134570.838157044
"1595","Abutilon palmeri",11,19,134551.261382535
"1596","Polystichum lonchitis",45,65,134418.284581462
"1597","Lupinus polyphyllus",363,491,134359.909082179
"1598","Navarretia subuligera",22,31,134234.052439375
"1599","Streptanthus campestris",58,84,134200.611652239
"1600","Ceanothus arcuatus",34,48,134172.237113531
"1601","Sagina decumbens",135,154,134149.803573351
"1602","Lilium occidentale",17,27,134108.036978766
"1603","Plagiobothrys leptocladus",144,207,134097.022550726
"1604","Eleocharis engelmannii",62,93,134068.511996744
"1605","Lasthenia microglossa",101,143,134066.203944696
"1606","Oxytropis parryi",28,49,133924.434098698
"1607","Ivesia gordonii",118,180,133806.5293021
"1608","Eriogonum parishii",167,259,133718.514081314
"1609","Mirabilis greenei",22,44,133708.318596547
"1610","Lupinus bicolor",2001,2806,133635.778034293
"1611","Oenothera flava",22,25,133613.926768447
"1612","Stachys mexicana",23,25,133554.382915651
"1613","Polemonium californicum",89,120,133526.247604142
"1614","Juniperus occidentalis",376,554,133510.600220274
"1615","Hesperochiron pumilus",80,98,133510.209761425
"1616","Quercus douglasii",597,1096,133447.42217803
"1617","Calycoseris wrightii",225,288,133436.069666512
"1618","Pectocarya penicillata",632,785,133316.315745736
"1619","Eriogonum ternatum",68,99,133315.203925613
"1620","Bolboschoenus robustus",37,49,133244.523132256
"1621","Nasturtium gambelii",17,58,133232.888439397
"1622","Mentzelia tridentata",40,57,133229.742782533
"1623","Ipomopsis tenuituba",45,71,133180.845077641
"1624","Linanthus parryae",226,301,133133.802969266
"1625","Opuntia engelmannii",28,46,133125.639879734
"1626","Astragalus gibbsii",22,31,133116.197180674
"1627","Carex disperma",24,37,132997.386133051
"1628","Lappula redowskii",152,216,132982.194015176
"1629","Castilleja mendocinensis",51,110,132951.959264024
"1630","Glehnia littoralis",35,56,132908.168093685
"1631","Eriogonum sphaerocephalum",138,185,132907.291553005
"1632","Cleomella brevipes",44,82,132829.529179928
"1633","Helianthus annuus",429,548,132767.189686356
"1634","Schoenoplectus subterminalis",31,60,132602.687176694
"1635","Bromus hallii",85,104,132507.375678434
"1636","Emmenanthe penduliflora",1170,1468,132488.182246915
"1637","Carex geyeri",22,27,132365.044354316
"1638","Epilobium glaberrimum",349,476,132260.42672213
"1639","Hemizonella minima",448,601,132232.21825295
"1640","Phacelia douglasii",253,336,132191.50308412
"1641","Frasera albicaulis",153,201,132130.404789111
"1642","Ziziphus obtusifolia",68,145,132109.765762771
"1643","Acamptopappus shockleyi",106,186,132106.148926927
"1644","Yabea microcarpa",335,420,132100.462713389
"1645","Orobanche parishii",79,105,132069.275910015
"1646","Lepidium flavum",326,514,131987.654465079
"1647","Mentzelia tricuspis",31,42,131982.438510921
"1648","Sanicula bipinnatifida",590,796,131977.994223354
"1649","Triteleia dudleyi",29,39,131850.331802238
"1650","Lathyrus littoralis",61,91,131825.775922399
"1651","Antennaria dimorpha",164,234,131747.700611649
"1652","Toxicoscordion exaltatum",30,38,131737.736725392
"1653","Brickellia longifolia",88,154,131536.527903786
"1654","Lessingia germanorum",17,73,131490.992296083
"1655","Hesperocnide tenella",295,381,131466.880751024
"1656","Dudleya saxosa",243,360,131461.269759449
"1657","Arnica longifolia",122,183,131451.063524147
"1658","Alopecurus geniculatus",102,154,131439.912186692
"1659","Carex luzulina",155,222,131367.614091488
"1660","Saltugilia australis",166,219,131324.309421259
"1661","Eragrostis mexicana",365,569,131233.359916354
"1662","Oxypolis occidentalis",73,121,131138.688269908
"1663","Dudleya parva",7,12,131018.556361252
"1664","Melica frutescens",221,320,130897.183298133
"1665","Polypodium calirhiza",208,267,130848.8480212
"1666","Clarkia similis",113,142,130840.577435522
"1667","Penstemon heterophyllus",585,794,130810.117099054
"1668","Pleuropogon refractus",44,61,130729.192327698
"1669","Mentzelia laevicaulis",300,382,130516.865466489
"1670","Viburnum ellipticum",29,46,130413.211679434
"1671","Antirrhinum nuttallianum",639,938,130392.501577985
"1672","Leptosiphon parviflorus",724,917,130374.361328685
"1673","Lycium parishii",16,30,130297.256832762
"1674","Selaginella asprella",111,142,130283.399018861
"1675","Frangula purshiana",313,515,130281.692291432
"1676","Lupinus latifolius",674,921,130244.670292833
"1677","Eragrostis lutescens",7,8,130220.56014559
"1678","Artemisia spiciformis",64,88,130140.164825986
"1679","Arctostaphylos malloryi",8,9,130056.678840941
"1680","Eleocharis geniculata",33,61,130018.044645413
"1681","Rafinesquia californica",620,814,129915.54106107
"1682","Eremothera minor",6,9,129884.556770832
"1683","Drosera rotundifolia",122,187,129831.772597487
"1684","Acmispon strigosus",1821,2465,129794.378002977
"1685","Viola macloskeyi",285,338,129713.537980762
"1686","Leptosiphon jepsonii",30,40,129698.848139535
"1687","Lupinus adsurgens",81,109,129615.090185298
"1688","Petalonyx nitidus",88,166,129570.016299652
"1689","Carex athrostachya",407,647,129520.149736119
"1690","Cirsium neomexicanum",107,146,129444.023682264
"1691","Leptosiphon bicolor",256,317,129422.219244155
"1692","Iris tenuissima",106,124,129312.892096686
"1693","Triteleia ixioides",438,567,129296.828494789
"1694","Layia glandulosa",929,1349,129286.028629804
"1695","Silene invisa",55,73,129224.178089183
"1696","Calocedrus decurrens",658,934,129191.863395354
"1697","Logfia arizonica",78,107,129149.023646704
"1698","Lomatium vaginatum",40,52,129053.113060808
"1699","Marsilea oligospora",20,23,129015.421740911
"1700","Stylocline masonii",7,13,128989.150267069
"1701","Chrysothamnus viscidiflorus",570,1025,128988.377748477
"1702","Lupinus obtusilobus",61,99,128943.955931638
"1703","Penstemon palmeri",122,184,128937.650614032
"1704","Aliciella humillima",11,13,128925.244160183
"1705","Atriplex persistens",30,101,128800.65542446
"1706","Lessingia ramulosa",83,140,128764.733712368
"1707","Lupinus breweri",397,659,128713.897782907
"1708","Carex limosa",42,87,128647.480194438
"1709","Grayia spinosa",493,725,128609.047880462
"1710","Mentzelia lindleyi",55,81,128596.966462332
"1711","Fragaria chiloensis",85,129,128566.454059222
"1712","Layia munzii",38,87,128365.381914911
"1713","Sphaeralcea rusbyi",44,74,128283.593942774
"1714","Thelypteris nevadensis",29,42,128257.538219119
"1715","Orobanche uniflora",139,158,128256.117467986
"1716","Epilobium obcordatum",151,192,128253.091615245
"1717","Crocanthemum greenei",35,52,128142.214249406
"1718","Acer negundo",338,550,128113.084771112
"1719","Carex serratodens",224,335,128015.147022462
"1720","Scutellaria galericulata",14,20,127980.55002601
"1721","Hackelia californica",82,116,127962.314371745
"1722","Balsamorhiza sagittata",126,161,127927.940489275
"1723","Eriastrum harwoodii",57,94,127895.347784335
"1724","Lupinus odoratus",166,232,127892.228587601
"1725","Hosackia oblongifolia",664,926,127862.589403505
"1726","Collinsia grandiflora",35,44,127827.867922257
"1727","Lepidium strictum",261,318,127800.809307328
"1728","Calochortus splendens",565,684,127757.766386395
"1729","Chorizanthe diffusa",95,203,127414.929517151
"1730","Juncus macrandrus",138,199,127362.618326809
"1731","Rumex californicus",336,420,127355.352904089
"1732","Carex deflexa",85,119,127341.759447607
"1733","Carex scopulorum",226,368,127238.188882395
"1734","Festuca rubra",390,601,127234.383084908
"1735","Camissonia campestris",711,934,127169.211142509
"1736","Arctomecon merriamii",23,33,127100.206781333
"1737","Symphyotrichum chilense",267,375,127085.550289987
"1738","Downingia willamettensis",5,5,127002.12708758
"1739","Cryptantha clokeyi",35,49,126997.347992915
"1740","Streptanthus diversifolius",64,106,126907.832607004
"1741","Geranium oreganum",11,12,126903.007756098
"1742","Cyperus squarrosus",304,413,126848.279644624
"1743","Panicum urvilleanum",85,150,126825.074247558
"1744","Geranium carolinianum",291,380,126791.554013777
"1745","Juncus dubius",236,300,126687.763086048
"1746","Monolopia congdonii",58,123,126677.128964478
"1747","Sporobolus cryptandrus",224,299,126644.800406404
"1748","Pinus ponderosa",412,582,126625.874319394
"1749","Chorizanthe pungens",130,256,126624.013698725
"1750","Thelypteris puberula",32,55,126583.223019992
"1751","Calystegia collina",123,171,126511.163918154
"1752","Melica californica",748,1053,126453.259438385
"1753","Carex hendersonii",29,43,126424.102976176
"1754","Beckmannia syzigachne",157,237,126261.117155998
"1755","Mentzelia albicaulis",662,809,126227.197228801
"1756","Tetradymia canescens",426,617,126101.692991176
"1757","Symphyotrichum ascendens",169,237,126098.454783872
"1758","Eremalche exilis",215,270,126087.643704831
"1759","Holozonia filipes",56,105,126076.625027273
"1760","Trifolium microdon",153,190,126043.002342443
"1761","Juncus regelii",4,6,126025.386032151
"1762","Chrysolepis sempervirens",509,744,125929.484995592
"1763","Sanguisorba officinalis",11,20,125855.763065264
"1764","Pedicularis semibarbata",330,445,125760.252767282
"1765","Asclepias erosa",184,232,125754.018946035
"1766","Carex exsiccata",27,53,125738.342741914
"1767","Hydrophyllum occidentale",236,289,125721.909349247
"1768","Hoita orbicularis",149,206,125686.190765807
"1769","Gilia millefoliata",71,136,125628.778496022
"1770","Epilobium lactiflorum",34,35,125611.441517761
"1771","Euphorbia parishii",45,65,125556.053444229
"1772","Allophyllum integrifolium",174,247,125508.716261346
"1773","Carex alma",346,543,125483.441757123
"1774","Lupinus formosus",533,798,125476.552853929
"1775","Amsinckia menziesii",1154,1574,125334.736079203
"1776","Erythronium multiscapideum",86,118,125282.434943352
"1777","Acmispon parviflorus",332,431,125282.331707233
"1778","Carex pachycarpa",27,33,125263.848091602
"1779","Gilia nevinii",45,78,125261.045405451
"1780","Ericameria gilmanii",7,32,125258.786494356
"1781","Picea sitchensis",70,130,125254.019187157
"1782","Amelanchier alnifolia",287,378,125211.679587697
"1783","Silene lemmonii",390,554,125032.533033021
"1784","Ericameria nauseosa",1736,3053,125003.082783497
"1785","Dichelostemma multiflorum",253,280,124871.735214472
"1786","Descurainia pinnata",1111,1462,124861.665416801
"1787","Ligusticum grayi",264,378,124811.005518085
"1788","Boechera koehleri",12,15,124772.724700742
"1789","Anisocarpus scabridus",35,68,124756.973300879
"1790","Chorizanthe spinosa",98,166,124748.675348198
"1791","Crepis pleurocarpa",220,286,124731.581663072
"1792","Stephanomeria paniculata",33,38,124689.743122859
"1793","Penstemon deustus",319,409,124635.339240117
"1794","Fritillaria falcata",9,14,124629.905371113
"1795","Equisetum hyemale",334,440,124610.619660058
"1796","Carex luzulifolia",73,102,124601.080110482
"1797","Boechera lincolnensis",18,19,124522.368857082
"1798","Cryptantha sparsiflora",35,45,124495.097861529
"1799","Gilia jacens",46,61,124402.438775083
"1800","Isolepis cernua",206,369,124396.591300584
"1801","Caulanthus coulteri",234,339,124321.087200667
"1802","Calycanthus occidentalis",337,521,124187.022834796
"1803","Mentzelia micrantha",309,410,124160.846417817
"1804","Boerhavia wrightii",166,260,124140.661408139
"1805","Anemone tuberosa",57,75,124087.799833755
"1806","Hieracium horridum",302,415,123962.747341215
"1807","Phlox stansburyi",224,291,123929.372941395
"1808","Glyceria borealis",76,123,123878.643111713
"1809","Senecio pattersonensis",18,27,123845.283889251
"1810","Phacelia exilis",73,123,123827.579066572
"1811","Astragalus palmeri",147,246,123738.105100391
"1812","Hoffmannseggia glauca",149,245,123724.190210768
"1813","Senecio clarkianus",45,72,123629.098593956
"1814","Erigeron klamathensis",39,55,123586.078034618
"1815","Papaver heterophyllum",293,372,123560.95223664
"1816","Senecio aronicoides",349,470,123482.812531633
"1817","Eschscholzia ramosa",43,65,123476.533454218
"1818","Streptanthus oliganthus",11,23,123396.034626875
"1819","Malacothamnus hallii",34,49,123210.493802485
"1820","Phacelia phacelioides",26,57,123187.673002278
"1821","Thysanocarpus laciniatus",705,1064,123065.921104195
"1822","Viola douglasii",259,383,123060.10935764
"1823","Subularia aquatica",15,28,123037.327357439
"1824","Garrya elliptica",289,562,123013.447288983
"1825","Ditaxis claryana",24,38,122902.806704685
"1826","Quercus john-tuckeri",199,324,122896.147948172
"1827","Ambrosia psilostachya",537,716,122875.786337087
"1828","Scrophularia lanceolata",14,22,122868.113382802
"1829","Dudleya caespitosa",84,118,122848.886252335
"1830","Glycyrrhiza lepidota",229,301,122818.776590071
"1831","Euphorbia melanadenia",150,209,122768.850707957
"1832","Solanum wallacei",93,207,122709.990115764
"1833","Eleocharis parishii",390,579,122708.602905332
"1834","Nama densa",47,66,122701.74510904
"1835","Tauschia kelloggii",49,65,122679.065366318
"1836","Sagittaria longiloba",23,30,122619.45736259
"1837","Hesperolinon californicum",104,147,122475.743437426
"1838","Wyethia bolanderi",23,36,122418.720359567
"1839","Lomatium caruifolium",223,315,122415.536488678
"1840","Echinodorus berteroi",127,219,122356.431735858
"1841","Linanthus filiformis",129,168,122332.209079212
"1842","Bloomeria crocea",499,619,122289.204106887
"1843","Prunus fasciculata",338,566,122259.458384427
"1844","Eriogonum fasciculatum",2263,3519,122245.657232524
"1845","Laennecia coulteri",156,225,122237.403417116
"1846","Downingia elegans",24,41,122212.860717364
"1847","Androstephium breviflorum",24,31,122205.001333541
"1848","Malacothrix coulteri",359,449,122199.942200759
"1849","Penstemon grinnellii",361,515,122191.198474389
"1850","Dudleya greenei",44,104,122093.236807329
"1851","Juncus ensifolius",371,499,122065.083865171
"1852","Cryptantha rostellata",10,16,122000.983671844
"1853","Campanula scouleri",61,77,121954.331647739
"1854","Zeltnera venusta",548,719,121921.031016176
"1855","Senecio californicus",274,440,121872.392076053
"1856","Erysimum suffrutescens",61,165,121840.580164531
"1857","Draba aureola",12,38,121769.716695062
"1858","Lupinus succulentus",580,753,121709.915406818
"1859","Brodiaea stellaris",16,22,121668.114165294
"1860","Cryptantha flaccida",420,532,121663.879117577
"1861","Aquilegia eximia",54,74,121618.613805972
"1862","Clarkia bottae",284,424,121593.004438288
"1863","Pterospora andromedea",227,296,121559.14555635
"1864","Rhamnus pirifolia",96,277,121478.091837555
"1865","Lupinus arizonicus",473,620,121290.101560941
"1866","Lomatium plummerae",29,39,121205.432278548
"1867","Pentagramma triangularis",1132,1580,121138.735994163
"1868","Pectocarya heterocarpa",374,422,121126.394725536
"1869","Elymus triticoides",867,1248,121103.16770842
"1870","Brickellia californica",799,1240,121100.820635209
"1871","Tracyina rostrata",13,32,121081.01778433
"1872","Ericameria albida",35,95,121044.216129514
